Filename,iP,iV,iQ,iX,P,Q,V,xi,Element,Is_Passive,Min_Real_Part,Branch_Type,Branch_ID,R,L,C,b,g_m,RMS_Rel_Error,Max_Rel_Error,Order
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RC_Parallel,Parallel,1.8823399753114666e+17,,-9.173056729417989e-23,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RL_Series,a,-31.432429127115615,-0.03676908116094563,,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RL_Series,b,24.420062914552787,0.11552961345005582,,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RL_Series,c,-5.042290241627254,-0.04891333056696592,,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RL_Series,d,-582.1969253238128,-39.186592253975654,,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RL_Series,e,36.07851261367162,2.6479488724794615,,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,01,01,01,02,-0.3,-1.0,0.9,-8.947,Y22,False,-0.17440855606603123,RL_Series,f,-1250.8697293175421,-122.47609951271293,,,,1.4104517220115226e-13,9.462455925075131e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y22,False,-0.14846885955484695,RC_Parallel,Parallel,2.738556196470797e+17,,-7.576541531356176e-23,,,1.4331561371062987e-13,9.026527620033296e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y22,False,-0.14846885955484695,RL_Series,a,-28.12470455324224,-0.03289976540354886,,,,1.4331561371062987e-13,9.026527620033296e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y22,False,-0.14846885955484695,RL_Series,b,10.913077133154358,0.051629006327934754,,,,1.4331561371062987e-13,9.026527620033296e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y22,False,-0.14846885955484695,RL_Series,c,-4.554549201278932,-0.04418194113986006,,,,1.4331561371062987e-13,9.026527620033296e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y22,False,-0.14846885955484695,RL_Series,d,-526.4930585414128,-35.437268583023844,,,,1.4331561371062987e-13,9.026527620033296e-13,6
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,01,01,01,01,-0.3,-1.0,0.9,-10.0,Y22,False,-0.14846885955484695,RL_Series,e,35.863410696653446,2.6321616673527886,,,,1.4331561371062987e-13,9.026527620033296e-13,6
